,team,player,minute,second,shot_statsbomb_xg,shot_outcome,type
3522,Denmark Women's,Sanne Troelsgaard-Nielsen,43,50,0.015792646,Blocked,Shot
3529,Denmark Women's,Katrine Veje,61,31,0.016080188,Blocked,Shot
3525,Denmark Women's,Janni Thomsen,46,2,0.07452517,Off T,Shot
3524,Denmark Women's,Nadia Nadim,45,59,0.12671575,Wayward,Shot
3523,Denmark Women's,Katrine Veje,45,54,0.011796138,Off T,Shot
3530,Denmark Women's,Stine Larsen,64,28,0.31173614,Blocked,Shot
3531,Denmark Women's,Karen Holmgaard,68,7,0.18227707,Saved,Shot
3520,Denmark Women's,Janni Thomsen,33,7,0.038062792,Blocked,Shot
3532,Denmark Women's,Karen Holmgaard,71,30,0.14558378,Post,Shot
3518,Denmark Women's,Katrine Veje,32,9,0.12803993,Saved,Shot
3517,Denmark Women's,Sara Gedsted Thrige Andersen,27,22,0.032928426,Blocked,Shot
3516,Denmark Women's,Signe Kallesøe Bruun,26,33,0.02547721,Off T,Shot
3533,Denmark Women's,Pernille Mosegaard Harder,71,31,0.7701089,Goal,Shot
3514,Denmark Women's,Signe Kallesøe Bruun,17,3,0.04102778,Blocked,Shot
3512,Denmark Women's,Nadia Nadim,9,41,0.2758374,Saved,Shot
3511,Denmark Women's,Nadia Nadim,8,7,0.020732215,Saved,Shot
3510,Denmark Women's,Pernille Mosegaard Harder,5,20,0.040270735,Blocked,Shot
3527,Denmark Women's,Sanne Troelsgaard-Nielsen,60,17,0.042998035,Wayward,Shot
3528,Denmark Women's,Sofie Junge Pedersen,60,26,0.06628777,Off T,Shot
3534,WNT Finland,Olga Ahtinen,81,39,0.013089769,Wayward,Shot
3509,WNT Finland,Natalia Kuikka,1,39,0.015643576,Off T,Shot
3535,WNT Finland,Natalia Kuikka,83,21,0.02750799,Off T,Shot
3521,WNT Finland,Emma Wilhelmina Koivisto,38,5,0.07496917,Off T,Shot
3519,WNT Finland,Linda Sällström,32,43,0.017193347,Wayward,Shot
3515,WNT Finland,Eveliina Summanen,18,35,0.03501559,Off T,Shot
3513,WNT Finland,Emmi Alanen,14,4,0.021462284,Off T,Shot
3526,WNT Finland,Ria Öling,59,35,0.020777162,Saved,Shot
3536,WNT Finland,Jenny Danielsson,92,20,0.029056823,Saved,Shot
