Player,Nation,Pos,Squad,90s,Passes Cmp,Passes Att,passes Cmp%,Assists,xAG,xA,KP,Final 3rd,PPA,CrsPA,PrgP
Brenden Aaronson,us USA,MFFW,Leeds United,25.6,575,771,74.6,3,4.2,2.6,46,45,16,4,84
Che Adams,sct SCO,FW,Southampton,22.1,330,498,66.3,3,2.8,2.2,24,21,11,2,34
Tyler Adams,us USA,MF,Leeds United,24.0,1108,1343,82.5,0,1.4,1.0,24,110,13,0,136
Tosin Adarabioyo,eng ENG,DF,Fulham,20.2,903,1112,81.2,0,0.4,0.4,6,77,6,0,83
Nayef Aguerd,ma MAR,DF,West Ham,15.7,504,648,77.8,0,0.4,0.3,5,33,4,0,24
Naouirou Ahamada,fr FRA,MFFW,Crystal Palace,1.0,37,46,80.4,0,0.1,0.0,1,3,0,0,2
Rayan Aït Nouri,dz ALG,DF,Wolves,11.5,446,552,80.8,0,1.0,0.8,7,28,14,5,43
Kristoffer Ajer,no NOR,DF,Brentford,8.5,259,345,75.1,0,0.0,0.1,1,20,3,1,31
Manuel Akanji,ch SUI,DF,Manchester City,23.8,1771,1904,93.0,1,0.4,1.0,7,126,3,1,103
Nathan Aké,nl NED,DF,Manchester City,20.1,1589,1756,90.5,0,0.6,1.3,8,156,9,1,139
Marc Albrighton,eng ENG,FWMF,Leicester City,2.6,89,148,60.1,0,0.9,0.4,6,6,5,2,7
Thiago Alcántara,es ESP,MF,Liverpool,13.9,946,1097,86.2,0,1.1,1.3,17,110,20,1,120
Carlos Alcaraz,ar ARG,MFFW,Southampton,8.9,173,227,76.2,1,0.5,0.5,3,15,5,0,22
Trent Alexander-Arnold,eng ENG,DF,Liverpool,29.5,1972,2620,75.3,8,10.0,8.1,64,211,71,23,213
Alisson,br BRA,GK,Liverpool,35.0,1182,1390,85.0,1,0.3,0.0,1,14,0,0,3
Dele Alli,eng ENG,MF,Everton,0.4,12,15,80.0,0,0.0,0.0,0,2,0,0,1
Miguel Almirón,py PAR,FW,Newcastle Utd,23.9,703,853,82.4,1,1.8,2.3,21,41,26,3,109
Julián Álvarez,ar ARG,FWMF,Manchester City,12.9,311,400,77.8,0,1.5,1.1,14,21,11,2,34
Daniel Amartey,gh GHA,DF,Leicester City,17.9,1015,1114,91.1,0,0.5,0.4,5,58,1,0,66
Joachim Andersen,dk DEN,DF,Crystal Palace,27.9,1333,1702,78.3,0,1.1,0.7,10,117,7,1,86
Elliot Anderson,sct SCO,MFFW,Newcastle Utd,2.5,86,118,72.9,0,0.8,1.0,6,9,3,0,14
