Player,Nation,Pos,Squad,Age,Born,90s,Shot Creating Actions,SCA90,Goal Creating Actions,GCA90
Brenden Aaronson,us USA,MFFW,Leeds United,22-199,2000,25.6,94,04.07,7,00.27
Che Adams,sct SCO,FW,Southampton,26-300,1996,22.1,56,02.53,7,00.32
Tyler Adams,us USA,MF,Leeds United,24-084,1999,24.0,43,02.19,1,00.04
Tosin Adarabioyo,eng ENG,DF,Fulham,25-227,1997,20.2,17,01.24,0,00.00
Nayef Aguerd,ma MAR,DF,West Ham,27-040,1996,15.7,12,01.16,0,00.00
Naouirou Ahamada,fr FRA,MFFW,Crystal Palace,21-041,2002,1.0,2,02.34,0,00.00
Rayan Aït Nouri,dz ALG,DF,Wolves,21-337,2001,11.5,23,02.01,0,00.00
Kristoffer Ajer,no NOR,DF,Brentford,25-022,1998,8.5,4,00.47,0,00.00
Manuel Akanji,ch SUI,DF,Manchester City,27-294,1995,23.8,23,01.37,0,00.00
Nathan Aké,nl NED,DF,Manchester City,28-080,1995,20.1,22,01.09,2,00.10
Marc Albrighton,eng ENG,FWMF,Leicester City,33-172,1989,2.6,7,03.06,0,00.00
Thiago Alcántara,es ESP,MF,Liverpool,32-028,1991,13.9,41,03.34,2,00.14
Carlos Alcaraz,ar ARG,MFFW,Southampton,20-160,2002,8.9,18,02.03,3,00.34
Trent Alexander-Arnold,eng ENG,DF,Liverpool,24-214,1998,29.5,109,04.10,15,00.51
Alisson,br BRA,GK,Liverpool,30-219,1992,35.0,3,00.09,2,00.06
Dele Alli,eng ENG,MF,Everton,27-028,1996,0.4,0,00.00,0,00.00
Miguel Almirón,py PAR,FW,Newcastle Utd,29-088,1994,23.9,72,03.01,11,00.46
Julián Álvarez,ar ARG,FWMF,Manchester City,23-098,2000,12.9,43,03.34,4,00.31
Daniel Amartey,gh GHA,DF,Leicester City,28-139,1994,17.9,15,01.24,1,00.06
Joachim Andersen,dk DEN,DF,Crystal Palace,26-343,1996,27.9,18,01.04,1,00.04
Elliot Anderson,sct SCO,MFFW,Newcastle Utd,20-184,2002,2.5,14,06.00,0,00.00
Jaidon Anthony,eng ENG,MFFW,Bournemouth,23-159,1999,12.7,37,03.32,4,00.32
Michail Antonio,jm JAM,FW,West Ham,33-042,1990,19.6,38,02.33,9,00.46
Antony,br BRA,FW,Manchester Utd,23-074,2000,17.8,65,04.06,5,00.28
Cameron Archer,eng ENG,FWMF,Aston Villa,21-292,2001,0.5,0,00.00,0,00.00
Alphonse Areola,fr FRA,GK,West Ham,30-071,1993,3.4,0,00.00,0,00.00
Joe Aribo,ng NGA,MFFW,Southampton,26-292,1996,12.8,26,02.03,1,00.08
Adam Armstrong,eng ENG,FWMF,Southampton,26-088,1997,14.4,23,01.59,1,00.07
Stuart Armstrong,sct SCO,MFFW,Southampton,31-040,1992,14.3,48,03.35,2,00.14
Kepa Arrizabalaga,es ESP,GK,Chelsea,28-218,1994,25.5,1,00.04,0,00.00
Pierre-Emerick Aubameyang,ga GAB,FW,Chelsea,33-325,1989,6.2,8,01.30,0,00.00
Ludwig Augustinsson,se SWE,DF,Aston Villa,29-018,1994,0.9,0,00.00,0,00.00
Serge Aurier,ci CIV,DF,Nott'ham Forest,30-136,1992,18.6,24,01.29,1,00.05
Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,25-270,1997,12.9,23,02.19,3,00.23
Yasin Ayari,se SWE,MF,Brighton,19-215,2003,0.2,4,16.36,0,00.00
André Ayew,gh GHA,FWMF,Nott'ham Forest,33-143,1989,3.5,3,01.26,0,00.00
Jordan Ayew,gh GHA,FWMF,Crystal Palace,31-240,1991,27.2,72,03.05,6,00.22
Luke Ayling,eng ENG,DF,Leeds United,31-257,1991,19.8,35,02.17,1,00.05
César Azpilicueta,es ESP,DF,Chelsea,33-254,1989,14.0,19,01.36,1,00.07
Benoît Badiashile,fr FRA,DF,Chelsea,22-044,2001,9.1,12,01.33,0,00.00
Leon Bailey,jm JAM,FWMF,Aston Villa,25-273,1997,19.8,54,03.13,5,00.25
Stefan Bajcetic,es ESP,MF,Liverpool,18-199,2004,5.8,13,02.22,1,00.17
Patrick Bamford,eng ENG,FW,Leeds United,29-246,1993,15.5,24,01.55,5,00.32
Shandon Baptiste,gd GRN,MF,Brentford,25-031,1998,6.4,16,02.51,3,00.47
Harvey Barnes,eng ENG,FWMF,Leicester City,25-151,1997,28.1,57,02.03,12,00.43
Gavin Bazunu,ie IRL,GK,Southampton,21-078,2002,32.0,7,00.22,0,00.00
Mads Bech Sørensen,dk DEN,DFMF,Brentford,24-122,1999,0.2,1,04.29,0,00.00
Jan Bednarek,pl POL,DF,Southampton,27-027,1996,15.6,7,00.45,0,00.00
Jan Bednarek,pl POL,DF,Aston Villa,27-027,1996,1.1,0,00.00,0,00.00
Donny van de Beek,nl NED,MF,Manchester Utd,26-021,1997,1.9,6,03.23,0,00.00
Asmir Begovi?,ba BIH,GK,Everton,35-323,1987,1.0,0,00.00,0,00.00
Armel Bella Kotchap,de GER,DF,Southampton,21-149,2001,20.9,14,01.07,2,00.10
Saïd Benrahma,dz ALG,FWMF,West Ham,27-272,1995,22.0,90,04.10,5,00.23
Rodrigo Bentancur,uy URU,MF,Tottenham,25-318,1997,16.7,34,02.04,5,00.30
Victor Bernth Kristiansen,dk DEN,DF,Leicester City,20-144,2002,9.9,14,01.41,3,00.30
Owen Bevan,wls WAL,DF,Bournemouth,19-195,2003,0.1,0,00.00,0,00.00
Giulian Biancone,fr FRA,DF,Nott'ham Forest,23-039,2000,0.2,1,05.29,0,00.00
Philip Billing,dk DEN,MFFW,Bournemouth,26-332,1996,29.1,52,02.19,6,00.21
Yves Bissouma,ml MLI,MF,Tottenham,26-252,1996,9.0,25,03.16,1,00.11
Willy Boly,ci CIV,DF,Nott'ham Forest,32-095,1991,6.7,5,01.15,1,00.15
Sven Botman,nl NED,DF,Newcastle Utd,23-117,2000,30.7,20,01.05,1,00.03
Jarrod Bowen,eng ENG,FWMF,West Ham,26-140,1996,34.6,101,03.32,13,00.38
James Bree,eng ENG,DF,Southampton,25-210,1997,2.2,6,03.09,0,00.00
Armando Broja,al ALB,FW,Chelsea,21-241,2001,3.3,4,01.22,2,01.01
David Brooks,wls WAL,FWDF,Bournemouth,25-305,1997,0.4,0,00.00,0,00.00
Lewis Brunt,eng ENG,DF,Leicester City,22-184,2000,0.3,0,00.00,0,00.00
Bryan,es ESP,MFFW,Tottenham,22-087,2001,1.6,5,03.04,3,02.22
