Player,Nation,Pos,Squad,Age,Born,90s,Goals,Shots,SoT,SoT%,Sh p.90,SoT p.90,xG,npxG
Brenden Aaronson,us USA,MFFW,Leeds United,22-199,2000,25.6,1,40,9,22.5,01.56,00.35,3.7,3.7
Che Adams,sct SCO,FW,Southampton,26-300,1996,22.1,5,47,14,29.8,02.12,01.03,6.6,6.6
Tyler Adams,us USA,MF,Leeds United,24-084,1999,24.0,0,4,0,0.0,00.17,00.00,0.1,0.1
Tosin Adarabioyo,eng ENG,DF,Fulham,25-227,1997,20.2,1,12,4,33.3,01.00,00.20,0.6,0.6
Nayef Aguerd,ma MAR,DF,West Ham,27-040,1996,15.7,2,11,2,18.2,01.10,00.13,2.2,2.2
Naouirou Ahamada,fr FRA,MFFW,Crystal Palace,21-041,2002,1.0,0,3,0,0.0,03.30,00.00,0.2,0.2
Rayan Aït Nouri,dz ALG,DF,Wolves,21-337,2001,11.5,1,10,5,50.0,01.27,00.44,0.7,0.7
Kristoffer Ajer,no NOR,DF,Brentford,25-022,1998,8.5,0,1,0,0.0,00.12,00.00,0.0,0.0
Manuel Akanji,ch SUI,DF,Manchester City,27-294,1995,23.8,0,15,2,13.3,01.03,00.08,1.3,1.3
Nathan Aké,nl NED,DF,Manchester City,28-080,1995,20.1,1,9,2,22.2,00.45,00.10,1.6,1.6
Marc Albrighton,eng ENG,FWMF,Leicester City,33-172,1989,2.6,1,2,1,50.0,01.16,00.38,0.3,0.3
Thiago Alcántara,es ESP,MF,Liverpool,32-028,1991,13.9,0,10,1,10.0,01.12,00.07,0.4,0.4
Carlos Alcaraz,ar ARG,MFFW,Southampton,20-160,2002,8.9,4,21,9,42.9,02.37,01.02,1.6,1.6
Trent Alexander-Arnold,eng ENG,DF,Liverpool,24-214,1998,29.5,1,35,6,17.1,01.19,00.20,2.0,2.0
Alisson,br BRA,GK,Liverpool,30-219,1992,35.0,0,0,0,,00.00,00.00,0.0,0.0
Dele Alli,eng ENG,MF,Everton,27-028,1996,0.4,0,0,0,,00.00,00.00,0.0,0.0
Miguel Almirón,py PAR,FW,Newcastle Utd,29-088,1994,23.9,11,54,17,31.5,02.26,01.11,6.3,6.3
Julián Álvarez,ar ARG,FWMF,Manchester City,23-098,2000,12.9,8,37,18,48.6,03.27,01.40,6.2,5.5
Daniel Amartey,gh GHA,DF,Leicester City,28-139,1994,17.9,0,6,2,33.3,00.34,00.11,1.1,1.1
Joachim Andersen,dk DEN,DF,Crystal Palace,26-343,1996,27.9,1,22,9,40.9,01.19,00.32,1.8,1.8
Elliot Anderson,sct SCO,MFFW,Newcastle Utd,20-184,2002,2.5,0,8,3,37.5,03.21,01.21,0.9,0.9
Jaidon Anthony,eng ENG,MFFW,Bournemouth,23-159,1999,12.7,3,22,13,59.1,02.14,01.03,2.2,2.2
Michail Antonio,jm JAM,FW,West Ham,33-042,1990,19.6,5,37,12,32.4,02.28,01.01,6.4,6.4
Antony,br BRA,FW,Manchester Utd,23-074,2000,17.8,4,62,23,37.1,03.49,01.29,5.6,5.6
Cameron Archer,eng ENG,FWMF,Aston Villa,21-292,2001,0.5,0,0,0,,00.00,00.00,0.0,0.0
Alphonse Areola,fr FRA,GK,West Ham,30-071,1993,3.4,0,0,0,,00.00,00.00,0.0,0.0
Joe Aribo,ng NGA,MFFW,Southampton,26-292,1996,12.8,2,14,8,57.1,01.09,01.02,1.5,1.5
