Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Cmp - short,Att - short,Cmp% - short,Cmp - medium,Att - medium,Cmp% - medium,Cmp - long,Att - long,Cmp% - long,Ast,xAG,xA,Key Passes,Passes Into Final 3rd,Passes Into Penalty Area,Crs Into Penalty Area,Prg
1,Brenden Aaronson,us USA,MF,Leeds United,22-192,2000,25.5,574,332,407,81.6,146,189,77.2,25,60,41.7,3,4.2,2.6,46,45,16,4,84
2,Che Adams,sct SCO,FW,Southampton,26-293,1996,21.3,321,202,272,74.3,72,110,65.5,26,37,70.3,3,2.8,2.2,24,20,10,2,32
3,Tyler Adams,us USA,MF,Leeds United,24-077,1999,24.0,1108,607,686,88.5,390,460,84.8,63,107,58.9,0,1.4,1.0,24,110,13,0,136
4,Tosin Adarabioyo,eng ENG,DF,Fulham,25-220,1997,18.2,788,193,228,84.6,497,560,88.8,89,160,55.6,0,0.2,0.3,4,67,4,0,74
5,Nayef Aguerd,ma MAR,DF,West Ham,27-033,1996,14.7,476,170,186,91.4,240,280,85.7,61,137,44.5,0,0.4,0.2,4,33,4,0,22
6,Naouirou Ahamada,fr FRA,MFFW,Crystal Palace,21-034,2002,1.0,37,19,23,82.6,15,17,88.2,1,3,33.3,0,0.1,0.0,1,3,0,0,2
7,Rayan Aït Nouri,dz ALG,DF,Wolves,21-330,2001,11.5,446,255,287,88.9,159,195,81.5,20,32,62.5,0,1.0,0.8,7,28,14,5,43
8,Kristoffer Ajer,no NOR,DF,Brentford,25-015,1998,8.5,259,131,159,82.4,102,128,79.7,23,40,57.5,0,0.0,0.1,1,20,3,1,31
9,Manuel Akanji,ch SUI,DF,Manchester City,27-287,1995,22.6,1665,755,787,95.9,788,827,95.3,101,143,70.6,1,0.4,0.9,7,114,3,1,96
10,Nathan Aké,nl NED,DF,Manchester City,28-073,1995,18.7,1477,722,759,95.1,668,724,92.3,61,94,64.9,0,0.6,1.2,8,136,8,1,128
11,Marc Albrighton,eng ENG,FWMF,Leicester City,33-165,1989,2.6,89,48,60,80.0,23,34,67.6,12,34,35.3,0,0.9,0.4,6,6,5,2,7
12,Thiago Alcántara,es ESP,MF,Liverpool,32-021,1991,13.9,946,433,466,92.9,346,392,88.3,136,172,79.1,0,1.1,1.3,17,110,20,1,120
